Time	Cycle	PC	Insn	Decoded instruction	Register and memory contents
           1106	       549	001004e2	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x80000003 PA:0x00040000 store:0x80000003 load:0x00003333
           1110	       551	001004e4	4008	c.lw	x10,0(x8)	  x8:0x00040000 x10=0x00003333 PA:0x00040000 store:0x00000000
           1114	       553	001004e6	3e7d	c.jal	1000a4	  x1=0x001004e8
           1116	       554	001000a4	4721	c.li	x14,8	 x14=0x00000008
           1118	       555	001000a6	4625	c.li	x12,9	 x12=0x00000009
           1120	       556	001000a8	000206b7	lui	x13,0x20	 x13=0x00020000
           1122	       557	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00003333 x15=0x00000000
           1124	       558	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1126	       559	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1130	       561	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1132	       562	001000ba	177d	c.addi	x14,-1	 x14:0x00000008 x14=0x00000007
           1134	       563	001000bc	0512	c.slli	x10,0x4	 x10:0x00003333 x10=0x00033330
           1138	       565	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000007
           1142	       567	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00033330 x15=0x00000000
           1144	       568	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1146	       569	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1150	       571	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1152	       572	001000ba	177d	c.addi	x14,-1	 x14:0x00000007 x14=0x00000006
           1154	       573	001000bc	0512	c.slli	x10,0x4	 x10:0x00033330 x10=0x00333300
           1158	       575	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000006
           1162	       577	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00333300 x15=0x00000000
           1164	       578	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1166	       579	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1170	       581	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1172	       582	001000ba	177d	c.addi	x14,-1	 x14:0x00000006 x14=0x00000005
           1174	       583	001000bc	0512	c.slli	x10,0x4	 x10:0x00333300 x10=0x03333000
           1178	       585	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000005
           1182	       587	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x03333000 x15=0x00000000
           1184	       588	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1186	       589	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1190	       591	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1192	       592	001000ba	177d	c.addi	x14,-1	 x14:0x00000005 x14=0x00000004
           1194	       593	001000bc	0512	c.slli	x10,0x4	 x10:0x03333000 x10=0x33330000
           1198	       595	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000004
           1202	       597	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x33330000 x15=0x00000003
           1204	       598	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000003  x0=0x00000000
           1206	       599	001000b4	03078793	addi	x15,x15,48	 x15:0x00000003 x15=0x00000033
           1210	       601	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000033 PA:0x00020000 store:0x00000033 load:0x00000000
           1212	       602	001000ba	177d	c.addi	x14,-1	 x14:0x00000004 x14=0x00000003
           1214	       603	001000bc	0512	c.slli	x10,0x4	 x10:0x33330000 x10=0x33300000
           1218	       605	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000003
           1222	       607	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x33300000 x15=0x00000003
           1224	       608	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000003  x0=0x00000000
           1226	       609	001000b4	03078793	addi	x15,x15,48	 x15:0x00000003 x15=0x00000033
           1230	       611	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000033 PA:0x00020000 store:0x00000033 load:0x00000000
           1232	       612	001000ba	177d	c.addi	x14,-1	 x14:0x00000003 x14=0x00000002
           1234	       613	001000bc	0512	c.slli	x10,0x4	 x10:0x33300000 x10=0x33000000
           1238	       615	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000002
           1242	       617	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x33000000 x15=0x00000003
           1244	       618	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000003  x0=0x00000000
           1246	       619	001000b4	03078793	addi	x15,x15,48	 x15:0x00000003 x15=0x00000033
           1250	       621	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000033 PA:0x00020000 store:0x00000033 load:0x00000000
           1252	       622	001000ba	177d	c.addi	x14,-1	 x14:0x00000002 x14=0x00000001
           1254	       623	001000bc	0512	c.slli	x10,0x4	 x10:0x33000000 x10=0x30000000
           1258	       625	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000001
           1262	       627	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x30000000 x15=0x00000003
           1264	       628	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000003  x0=0x00000000
           1266	       629	001000b4	03078793	addi	x15,x15,48	 x15:0x00000003 x15=0x00000033
           1270	       631	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000033 PA:0x00020000 store:0x00000033 load:0x00000000
           1272	       632	001000ba	177d	c.addi	x14,-1	 x14:0x00000001 x14=0x00000000
           1274	       633	001000bc	0512	c.slli	x10,0x4	 x10:0x30000000 x10=0x00000000
           1276	       634	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000000
           1280	       636	001000c0	8082	c.jr	x1	  x1:0x001004e8
           1282	       637	001004e8	00000517	auipc	x10,0x0	 x10=0x001004e8
           1284	       638	001004ec	07050513	addi	x10,x10,112	 x10:0x001004e8 x10=0x00100558
           1288	       640	001004f0	3645	c.jal	100090	  x1=0x001004f2
           1290	       641	00100090	00020737	lui	x14,0x20	 x14=0x00020000
           1294	       643	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100558 x15=0x0000000a PA:0x00100558 store:0x00000000
           1298	       645	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           1302	       647	0010009e	0505	c.addi	x10,1	 x10:0x00100558 x10=0x00100559
           1306	       649	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
           1310	       651	001000a2	bfcd	c.j	100094	
           1314	       653	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100559 x15=0x00000000 PA:0x00100559 store:0x00000000
           1316	       654	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           1318	       655	0010009a	4501	c.li	x10,0	 x10=0x00000000
           1322	       657	0010009c	8082	c.jr	x1	  x1:0x001004f2
           1326	       659	001004f2	00448793	addi	x15,x9,4	  x9:0x80000000 x15=0x80000004
           1330	       661	001004f6	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x80000004 PA:0x00040000 store:0x80000004 load:0x00003333
           1334	       663	001004f8	4008	c.lw	x10,0(x8)	  x8:0x00040000 x10=0x000044e6 PA:0x00040000 store:0x00000000
           1338	       665	001004fa	366d	c.jal	1000a4	  x1=0x001004fc
           1340	       666	001000a4	4721	c.li	x14,8	 x14=0x00000008
           1342	       667	001000a6	4625	c.li	x12,9	 x12=0x00000009
           1344	       668	001000a8	000206b7	lui	x13,0x20	 x13=0x00020000
           1346	       669	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x000044e6 x15=0x00000000
           1348	       670	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1350	       671	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1354	       673	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1356	       674	001000ba	177d	c.addi	x14,-1	 x14:0x00000008 x14=0x00000007
           1358	       675	001000bc	0512	c.slli	x10,0x4	 x10:0x000044e6 x10=0x00044e60
           1362	       677	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000007
           1366	       679	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00044e60 x15=0x00000000
           1368	       680	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1370	       681	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1374	       683	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1376	       684	001000ba	177d	c.addi	x14,-1	 x14:0x00000007 x14=0x00000006
           1378	       685	001000bc	0512	c.slli	x10,0x4	 x10:0x00044e60 x10=0x0044e600
           1382	       687	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000006
           1386	       689	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x0044e600 x15=0x00000000
           1388	       690	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1390	       691	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1394	       693	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1396	       694	001000ba	177d	c.addi	x14,-1	 x14:0x00000006 x14=0x00000005
           1398	       695	001000bc	0512	c.slli	x10,0x4	 x10:0x0044e600 x10=0x044e6000
           1402	       697	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000005
           1406	       699	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x044e6000 x15=0x00000000
           1408	       700	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1410	       701	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1414	       703	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1416	       704	001000ba	177d	c.addi	x14,-1	 x14:0x00000005 x14=0x00000004
           1418	       705	001000bc	0512	c.slli	x10,0x4	 x10:0x044e6000 x10=0x44e60000
           1422	       707	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000004
           1426	       709	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x44e60000 x15=0x00000004
           1428	       710	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1430	       711	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1434	       713	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1436	       714	001000ba	177d	c.addi	x14,-1	 x14:0x00000004 x14=0x00000003
           1438	       715	001000bc	0512	c.slli	x10,0x4	 x10:0x44e60000 x10=0x4e600000
           1442	       717	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000003
           1446	       719	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x4e600000 x15=0x00000004
           1448	       720	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1450	       721	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1454	       723	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1456	       724	001000ba	177d	c.addi	x14,-1	 x14:0x00000003 x14=0x00000002
           1458	       725	001000bc	0512	c.slli	x10,0x4	 x10:0x4e600000 x10=0xe6000000
           1462	       727	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000002
           1466	       729	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0xe6000000 x15=0x0000000e
           1470	       731	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x0000000e  x0=0x00000000
           1476	       734	001000c2	03778793	addi	x15,x15,55	 x15:0x0000000e x15=0x00000045
           1480	       736	001000c6	bfcd	c.j	1000b8	
           1484	       738	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000045 PA:0x00020000 store:0x00000045 load:0x00000000
           1486	       739	001000ba	177d	c.addi	x14,-1	 x14:0x00000002 x14=0x00000001
           1488	       740	001000bc	0512	c.slli	x10,0x4	 x10:0xe6000000 x10=0x60000000
           1492	       742	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000001
           1496	       744	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x60000000 x15=0x00000006
           1498	       745	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000006  x0=0x00000000
           1500	       746	001000b4	03078793	addi	x15,x15,48	 x15:0x00000006 x15=0x00000036
           1504	       748	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000036 PA:0x00020000 store:0x00000036 load:0x00000000
           1506	       749	001000ba	177d	c.addi	x14,-1	 x14:0x00000001 x14=0x00000000
           1508	       750	001000bc	0512	c.slli	x10,0x4	 x10:0x60000000 x10=0x00000000
           1510	       751	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000000
           1514	       753	001000c0	8082	c.jr	x1	  x1:0x001004fc
           1516	       754	001004fc	00000517	auipc	x10,0x0	 x10=0x001004fc
           1518	       755	00100500	05c50513	addi	x10,x10,92	 x10:0x001004fc x10=0x00100558
           1522	       757	00100504	3671	c.jal	100090	  x1=0x00100506
           1524	       758	00100090	00020737	lui	x14,0x20	 x14=0x00020000
           1528	       760	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100558 x15=0x0000000a PA:0x00100558 store:0x00000000
           1532	       762	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           1536	       764	0010009e	0505	c.addi	x10,1	 x10:0x00100558 x10=0x00100559
           1540	       766	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
           1544	       768	001000a2	bfcd	c.j	100094	
           1548	       770	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100559 x15=0x00000000 PA:0x00100559 store:0x00000000
           1550	       771	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           1552	       772	0010009a	4501	c.li	x10,0	 x10=0x00000000
           1556	       774	0010009c	8082	c.jr	x1	  x1:0x00100506
           1560	       776	00100506	00548793	addi	x15,x9,5	  x9:0x80000000 x15=0x80000005
           1566	       779	0010050a	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x80000005 PA:0x00040000 store:0x80000005 load:0x000044e6
           1570	       781	0010050c	4008	c.lw	x10,0(x8)	  x8:0x00040000 x10=0x000044e6 PA:0x00040000 store:0x00000000
           1574	       783	0010050e	3e59	c.jal	1000a4	  x1=0x00100510
           1576	       784	001000a4	4721	c.li	x14,8	 x14=0x00000008
           1578	       785	001000a6	4625	c.li	x12,9	 x12=0x00000009
           1580	       786	001000a8	000206b7	lui	x13,0x20	 x13=0x00020000
           1582	       787	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x000044e6 x15=0x00000000
           1584	       788	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1586	       789	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1590	       791	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1592	       792	001000ba	177d	c.addi	x14,-1	 x14:0x00000008 x14=0x00000007
           1594	       793	001000bc	0512	c.slli	x10,0x4	 x10:0x000044e6 x10=0x00044e60
           1598	       795	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000007
           1602	       797	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00044e60 x15=0x00000000
           1604	       798	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1606	       799	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1610	       801	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1612	       802	001000ba	177d	c.addi	x14,-1	 x14:0x00000007 x14=0x00000006
           1614	       803	001000bc	0512	c.slli	x10,0x4	 x10:0x00044e60 x10=0x0044e600
           1618	       805	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000006
           1622	       807	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x0044e600 x15=0x00000000
           1624	       808	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1626	       809	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1630	       811	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1632	       812	001000ba	177d	c.addi	x14,-1	 x14:0x00000006 x14=0x00000005
           1634	       813	001000bc	0512	c.slli	x10,0x4	 x10:0x0044e600 x10=0x044e6000
           1638	       815	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000005
           1642	       817	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x044e6000 x15=0x00000000
           1644	       818	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1646	       819	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1650	       821	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1652	       822	001000ba	177d	c.addi	x14,-1	 x14:0x00000005 x14=0x00000004
           1654	       823	001000bc	0512	c.slli	x10,0x4	 x10:0x044e6000 x10=0x44e60000
           1658	       825	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000004
           1662	       827	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x44e60000 x15=0x00000004
           1664	       828	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1666	       829	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1670	       831	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1672	       832	001000ba	177d	c.addi	x14,-1	 x14:0x00000004 x14=0x00000003
           1674	       833	001000bc	0512	c.slli	x10,0x4	 x10:0x44e60000 x10=0x4e600000
           1678	       835	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000003
           1682	       837	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x4e600000 x15=0x00000004
           1684	       838	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1686	       839	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1690	       841	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1692	       842	001000ba	177d	c.addi	x14,-1	 x14:0x00000003 x14=0x00000002
           1694	       843	001000bc	0512	c.slli	x10,0x4	 x10:0x4e600000 x10=0xe6000000
           1698	       845	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000002
           1702	       847	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0xe6000000 x15=0x0000000e
           1706	       849	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x0000000e  x0=0x00000000
           1712	       852	001000c2	03778793	addi	x15,x15,55	 x15:0x0000000e x15=0x00000045
           1716	       854	001000c6	bfcd	c.j	1000b8	
           1720	       856	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000045 PA:0x00020000 store:0x00000045 load:0x00000000
           1722	       857	001000ba	177d	c.addi	x14,-1	 x14:0x00000002 x14=0x00000001
           1724	       858	001000bc	0512	c.slli	x10,0x4	 x10:0xe6000000 x10=0x60000000
           1728	       860	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000001
           1732	       862	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x60000000 x15=0x00000006
           1734	       863	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000006  x0=0x00000000
           1736	       864	001000b4	03078793	addi	x15,x15,48	 x15:0x00000006 x15=0x00000036
           1740	       866	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000036 PA:0x00020000 store:0x00000036 load:0x00000000
           1742	       867	001000ba	177d	c.addi	x14,-1	 x14:0x00000001 x14=0x00000000
           1744	       868	001000bc	0512	c.slli	x10,0x4	 x10:0x60000000 x10=0x00000000
           1746	       869	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000000
           1750	       871	001000c0	8082	c.jr	x1	  x1:0x00100510
           1752	       872	00100510	00000517	auipc	x10,0x0	 x10=0x00100510
           1754	       873	00100514	04850513	addi	x10,x10,72	 x10:0x00100510 x10=0x00100558
           1758	       875	00100518	3ea5	c.jal	100090	  x1=0x0010051a
           1760	       876	00100090	00020737	lui	x14,0x20	 x14=0x00020000
           1764	       878	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100558 x15=0x0000000a PA:0x00100558 store:0x00000000
           1768	       880	00100098	e399	c.bnez	x15,10009e	 x15:0x0000000a
           1772	       882	0010009e	0505	c.addi	x10,1	 x10:0x00100558 x10=0x00100559
           1776	       884	001000a0	c31c	c.sw	x15,0(x14)	 x14:0x00020000 x15:0x0000000a PA:0x00020000 store:0x0000000a load:0x00000000
           1780	       886	001000a2	bfcd	c.j	100094	
           1784	       888	00100094	00054783	lbu	x15,0(x10)	 x10:0x00100559 x15=0x00000000 PA:0x00100559 store:0x00000000
           1786	       889	00100098	e399	c.bnez	x15,10009e	 x15:0x00000000
           1788	       890	0010009a	4501	c.li	x10,0	 x10=0x00000000
           1792	       892	0010009c	8082	c.jr	x1	  x1:0x0010051a
           1796	       894	0010051a	00648793	addi	x15,x9,6	  x9:0x80000000 x15=0x80000006
           1802	       897	0010051e	c01c	c.sw	x15,0(x8)	  x8:0x00040000 x15:0x80000006 PA:0x00040000 store:0x80000006 load:0x000044e6
           1806	       899	00100520	4008	c.lw	x10,0(x8)	  x8:0x00040000 x10=0x000044e6 PA:0x00040000 store:0x00000000
           1808	       900	00100522	049d	c.addi	x9,7	  x9:0x80000000  x9=0x80000007
           1812	       902	00100524	3641	c.jal	1000a4	  x1=0x00100526
           1814	       903	001000a4	4721	c.li	x14,8	 x14=0x00000008
           1816	       904	001000a6	4625	c.li	x12,9	 x12=0x00000009
           1818	       905	001000a8	000206b7	lui	x13,0x20	 x13=0x00020000
           1820	       906	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x000044e6 x15=0x00000000
           1822	       907	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1824	       908	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1828	       910	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1830	       911	001000ba	177d	c.addi	x14,-1	 x14:0x00000008 x14=0x00000007
           1832	       912	001000bc	0512	c.slli	x10,0x4	 x10:0x000044e6 x10=0x00044e60
           1836	       914	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000007
           1840	       916	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x00044e60 x15=0x00000000
           1842	       917	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1844	       918	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1848	       920	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1850	       921	001000ba	177d	c.addi	x14,-1	 x14:0x00000007 x14=0x00000006
           1852	       922	001000bc	0512	c.slli	x10,0x4	 x10:0x00044e60 x10=0x0044e600
           1856	       924	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000006
           1860	       926	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x0044e600 x15=0x00000000
           1862	       927	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1864	       928	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1868	       930	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1870	       931	001000ba	177d	c.addi	x14,-1	 x14:0x00000006 x14=0x00000005
           1872	       932	001000bc	0512	c.slli	x10,0x4	 x10:0x0044e600 x10=0x044e6000
           1876	       934	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000005
           1880	       936	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x044e6000 x15=0x00000000
           1882	       937	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000000  x0=0x00000000
           1884	       938	001000b4	03078793	addi	x15,x15,48	 x15:0x00000000 x15=0x00000030
           1888	       940	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000030 PA:0x00020000 store:0x00000030 load:0x00000000
           1890	       941	001000ba	177d	c.addi	x14,-1	 x14:0x00000005 x14=0x00000004
           1892	       942	001000bc	0512	c.slli	x10,0x4	 x10:0x044e6000 x10=0x44e60000
           1896	       944	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000004
           1900	       946	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x44e60000 x15=0x00000004
           1902	       947	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1904	       948	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1908	       950	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1910	       951	001000ba	177d	c.addi	x14,-1	 x14:0x00000004 x14=0x00000003
           1912	       952	001000bc	0512	c.slli	x10,0x4	 x10:0x44e60000 x10=0x4e600000
           1916	       954	001000be	f77d	c.bnez	x14,1000ac	 x14:0x00000003
           1920	       956	001000ac	01c55793	srli	x15,x10,0x1c	 x10:0x4e600000 x15=0x00000004
           1922	       957	001000b0	00f66963	bltu	x12,x15,1000c2	 x12:0x00000009 x15:0x00000004  x0=0x00000000
           1924	       958	001000b4	03078793	addi	x15,x15,48	 x15:0x00000004 x15=0x00000034
           1928	       960	001000b8	c29c	c.sw	x15,0(x13)	 x13:0x00020000 x15:0x00000034 PA:0x00020000 store:0x00000034 load:0x00000000
           1930	       961	001000ba	177d	c.addi	x14,-1	 x14:0x00000003 x14=0x00000002
