Cycles,2468
NONE,0
Instructions Retired,1872
LSU Busy,150
Fetch Wait,184
Loads,52
Stores,98
Jumps,115
Conditional Branches,358
Taken Conditional Branches,147
Compressed Instructions,906
Multiply Wait,0
Divide Wait,0
